cell-markers · Tumour vs liver: FindMarkers over cells against DESeq2 over the 4 pseudobulk samples, 20 seeds each
TP = truly changed genes called (of 20); FP = unchanged genes called; any FP = share of seeds with at least one

Kupffer cells
change  sample  |  over cells: TP   FP  any FP  |  over samples: TP   FP  any FP
     0       0  |                —   0.0      0%  |                  —   0.0      0%
     0     0.2  |                —   0.3     30%  |                  —   0.0      0%
     0     0.4  |                —   8.0    100%  |                  —   0.1     10%
     0    0.65  |                —  27.9    100%  |                  —   0.4     30%
     1       0  |              1.6   0.0      0%  |                2.7   0.1     10%
     1     0.2  |              2.1   0.3     30%  |                0.8   0.1      5%
     1     0.4  |              3.5   6.8    100%  |                0.3   0.0      0%
     1    0.65  |              4.0  26.9    100%  |                0.3   0.4     35%
     2       0  |             12.1   0.0      0%  |               15.7   0.1     10%
     2     0.2  |             11.7   0.5     30%  |               12.9   0.2     20%
     2     0.4  |             11.0   8.0    100%  |                7.7   0.3     20%
     2    0.65  |              9.3  27.7    100%  |                3.0   0.8     50%

Immune cells
change  sample  |  over cells: TP   FP  any FP  |  over samples: TP   FP  any FP
     0       0  |                —   0.1      5%  |                  —   0.0      0%
     0     0.2  |                —   1.8     90%  |                  —   0.0      0%
     0     0.4  |                —  21.8    100%  |                  —   0.1      5%
     0    0.65  |                —  63.3    100%  |                  —   0.7     30%
     1       0  |              4.2   0.0      0%  |                3.4   0.0      0%
     1     0.2  |              5.2   1.3     70%  |                1.0   0.1     10%
     1     0.4  |              5.3  22.2    100%  |                0.3   0.1      5%
     1    0.65  |              5.8  60.0    100%  |                0.2   0.6     35%
     2       0  |             16.1   0.0      0%  |               17.1   0.1      5%
     2     0.2  |             15.4   1.6     95%  |               15.8   0.3     20%
     2     0.4  |             14.2  20.8    100%  |                8.1   0.6     45%
     2    0.65  |             12.8  57.8    100%  |                3.1   0.9     65%

