Kupffer cells, 20 seeds: TP = truly changed genes called (of 20), FP = unchanged called, prec = share of calls true
patients  change  sample  |  over cells: TP    FP  prec  |  over samples: TP    FP  prec
       2       0       0  |              —   0.0     —  |                —   0.0     —
       2       0     0.2  |              —   0.3    0%  |                —   0.0     —
       2       0     0.4  |              —   8.0    0%  |                —   0.1    0%
       2       1       0  |            1.6   0.0  100%  |              2.7   0.1   96%
       2       1     0.2  |            2.1   0.3   86%  |              0.8   0.1   94%
       2       1     0.4  |            3.5   6.8   33%  |              0.3   0.0  100%
       3       0       0  |              —   0.0     —  |                —   0.0     —
       3       0     0.2  |              —   0.4    0%  |                —   0.1    0%
       3       0     0.4  |              —   6.5    0%  |                —   0.0     —
       3       1       0  |            3.1   0.0  100%  |              2.0   0.0  100%
       3       1     0.2  |            3.9   0.3   93%  |              1.1   0.0  100%
       3       1     0.4  |            4.3   5.8   42%  |              0.3   0.0  100%
       5       0       0  |              —   0.1    0%  |                —   0.0     —
       5       0     0.2  |              —   0.6    0%  |                —   0.0     —
       5       0     0.4  |              —   8.2    0%  |                —   0.0     —
       5       1       0  |            8.5   0.0  100%  |              7.0   0.0  100%
       5       1     0.2  |            7.7   0.4   95%  |              3.9   0.1   99%
       5       1     0.4  |            7.4   7.3   50%  |              1.8   0.1   92%
