case,separation,seed,i,x,y
0,0,1,0,0.4829870295076131,0.008302902628750322
0,0,1,1,0.5615520968762772,-0.06717626753567135
0,0,1,2,-0.024613931393249508,0.12434063280679103
0,0,1,3,-0.0904457516572259,-0.4864629378285359
0,0,1,4,0.6530274145620921,-0.021249426671916885
0,0,1,5,-0.6256851436199988,0.04414949444798516
0,0,1,6,-0.817207450513892,0.5648465468557977
0,0,1,7,0.4718405748547582,0.6895582261056766
0,0,1,8,0.5451784508193003,0.24562113263443347
0,0,1,9,0.07315276388779798,-0.6779126351472462
0,0,1,10,0.28724690790285184,0.7373010483996173
0,0,1,11,-1.1271173228725508,0.5532060634189627
0,0,1,12,0.15458166087031588,-0.4894863014390205
0,0,1,13,0.21579213215310078,0.7510288433307086
0,0,1,14,-0.43832043638737034,-0.1305827877580742
0,0,1,15,0.13073955044008997,0.3480676525373977
0,0,1,16,-0.3877897185436746,0.11494978645337753
0,0,1,17,0.36091546678046815,-0.012400113820630897
0,0,1,18,0.037183960426844964,-0.844728579812225
0,0,1,19,-0.4305697364326255,0.8674005607537305
1,0,2,0,-0.17841667205532705,0.3501709618458649
1,0,2,1,-0.7694930073107691,-0.18706799687877698
1,0,2,2,-0.17567501886420261,-0.18904885605947766
1,0,2,3,-0.36776912698469494,0.46056326820170834
1,0,2,4,0.2647093832099999,0.23052576596770527
1,0,2,5,0.10405185211870087,0.331145096250834
1,0,2,6,0.3333042153713889,-0.5636072796136831
1,0,2,7,0.32942189305345637,0.40337056639482427
1,0,2,8,-0.29824541607385013,0.3311028547266473
1,0,2,9,0.11637273410270442,0.029257599537997732
1,0,2,10,0.1946307024286274,0.08016500608064901
1,0,2,11,0.36172124996200317,0.9470610605226327
1,0,2,12,1.4626477826661057,-0.578013884065516
1,0,2,13,-0.4176867937122931,-0.47169060108271454
1,0,2,14,0.008234976816626587,0.07590010931164741
1,0,2,15,-0.3566542868163054,0.5024745835021895
1,0,2,16,-1.2025644754186187,-0.16129255477270582
1,0,2,17,1.013242583936285,0.38518880236869796
1,0,2,18,0.04823588430679759,-0.13390984322242322
1,0,2,19,1.9082511459958806,-0.21577969291423307
2,0,3,0,0.39319230577934033,0.09743911036913575
2,0,3,1,0.5582860647774919,0.284142941991105
2,0,3,2,-0.3651887827460501,0.04338484548548357
2,0,3,3,0.31575456472498936,0.510217947591585
2,0,3,4,-0.7726717654034869,-0.26512638757656637
2,0,3,5,0.7823290279119172,0.45338056570621615
2,0,3,6,-0.4062095322529257,0.059823759456550586
2,0,3,7,0.247415515507141,-0.23300263782583236
2,0,3,8,-0.2739298192531311,-0.6993206954871172
2,0,3,9,-0.37138293758769053,-0.697604533911466
2,0,3,10,0.2782608593808426,-0.4933464300938792
2,0,3,11,0.5536301512719173,0.04044372076508582
2,0,3,12,-0.09475093092023903,0.23758032718395117
2,0,3,13,0.021929839161211825,-0.17930470109125576
2,0,3,14,-0.14482867376124633,-0.6419381659000116
2,0,3,15,-0.652436195093893,0.7131982298489572
2,0,3,16,0.4029487645292767,0.003647399730791858
2,0,3,17,-1.5323955023978673,0.21014884111396714
2,0,3,18,-0.21650435877565305,-0.16356153914901359
2,0,3,19,0.09893242052710885,-0.42606070593848944
3,0,4,0,-0.09933562064690904,0.1727742455938119
3,0,4,1,0.7556778658404052,0.42689394768087313
3,0,4,2,-0.8509730048302651,-0.045474371240346693
3,0,4,3,1.1159031411528628,-0.1849308405236254
3,0,4,4,-0.17703208430657005,-0.4539131059484811
3,0,4,5,-0.2471828413318901,0.26606071904546796
3,0,4,6,0.2805004387016042,-0.27743277985553355
3,0,4,7,-0.023591210288609245,-0.5639552106673617
3,0,4,8,-0.6558381313284832,0.03939983380729336
3,0,4,9,0.35505052417112853,-0.1651075014519281
3,0,4,10,-0.10002236156927673,0.018206232352621594
3,0,4,11,0.17222435495170346,-0.7058198048207972
3,0,4,12,0.011238631152436424,-0.8098245300336202
3,0,4,13,-0.31154083821931705,0.47188640420465966
3,0,4,14,0.6252660876769629,0.042781238027087894
3,0,4,15,-0.582209657841377,-0.14956538910500705
3,0,4,16,0.30309192540458724,0.2069983172169452
3,0,4,17,-0.26969634581066837,0.18523210574437382
3,0,4,18,-0.7122937044889687,-0.21758196141254185
3,0,4,19,-0.8438315026577651,-0.8307299654664501
4,0,5,0,0.061369675165139005,-0.42653105198215185
4,0,5,1,-0.6224706604718909,-0.6083856067423762
4,0,5,2,-0.9288934580948931,-0.6073734759525995
4,0,5,3,-0.3912346073132265,0.10543489279434992
4,0,5,4,0.028696036061419468,0.2207791944846579
4,0,5,5,-0.02078408711710977,-0.351974805830754
4,0,5,6,0.453623095476405,0.039493115354068895
4,0,5,7,-0.19277922835339598,0.587591414560776
4,0,5,8,-0.055427535343413485,0.2269989358913339
4,0,5,9,-0.062122811749474885,-0.36940866057704985
4,0,5,10,0.822369791135411,0.09874025708985883
4,0,5,11,0.08811052425341721,0.3284542725899784
4,0,5,12,0.5762081452710873,0.5637584856472935
4,0,5,13,0.6135056140379179,-0.032242444933236546
