case,linkage,distance,kind,idx,value
0,average,euclidean,height,0,0.072761509956276407
0,average,euclidean,height,1,0.102357258938706439
0,average,euclidean,height,2,0.123814705575511608
0,average,euclidean,height,3,0.170649682733024582
0,average,euclidean,height,4,0.195440596081270124
0,average,euclidean,height,5,0.226995802807680336
0,average,euclidean,height,6,0.245046064276624009
0,average,euclidean,height,7,0.248207402428480800
0,average,euclidean,height,8,0.253437639509757728
0,average,euclidean,height,9,0.272375629738199954
0,average,euclidean,height,10,0.290864429525303059
0,average,euclidean,height,11,0.302888799111382223
0,average,euclidean,height,12,0.310128408631011210
0,average,euclidean,height,13,0.540411114881787169
0,average,euclidean,height,14,0.627538511959239154
0,average,euclidean,height,15,0.688746418487519718
0,average,euclidean,height,16,0.790110954245442421
0,average,euclidean,height,17,1.002623359368360223
0,average,euclidean,height,18,1.141216666164754923
0,average,euclidean,cut,2,0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;1
0,average,euclidean,cut,3,0;0;0;1;0;2;2;0;0;1;0;2;1;0;2;0;2;0;1;2
0,average,euclidean,cut,4,0;0;0;1;0;2;3;0;0;1;0;3;1;0;2;0;2;0;1;3
0,average,euclidean,cut,5,0;0;0;1;0;2;3;4;0;1;4;3;1;4;2;0;2;0;1;3
0,average,euclidean,cut,6,0;0;0;1;0;2;3;4;0;1;4;3;1;4;2;0;2;0;1;5
0,complete,euclidean,height,0,0.072761509956276407
0,complete,euclidean,height,1,0.102357258938706439
0,complete,euclidean,height,2,0.123814705575511608
0,complete,euclidean,height,3,0.170649682733024582
0,complete,euclidean,height,4,0.245046064276624009
0,complete,euclidean,height,5,0.248207402428480800
0,complete,euclidean,height,6,0.256197002248868155
0,complete,euclidean,height,7,0.263323834454783745
0,complete,euclidean,height,8,0.272375629738199954
0,complete,euclidean,height,9,0.292245958696975228
0,complete,euclidean,height,10,0.310128408631011210
0,complete,euclidean,height,11,0.317061210035412488
0,complete,euclidean,height,12,0.380320409171855722
0,complete,euclidean,height,13,0.693104796670157786
0,complete,euclidean,height,14,0.764131351490522581
0,complete,euclidean,height,15,0.888262099075063150
0,complete,euclidean,height,16,0.998013445428779122
0,complete,euclidean,height,17,1.605721841578787057
0,complete,euclidean,height,18,1.870538531095204959
0,complete,euclidean,cut,2,0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;1
0,complete,euclidean,cut,3,0;0;0;1;0;2;2;0;0;1;0;2;1;0;2;0;2;0;1;2
0,complete,euclidean,cut,4,0;0;0;1;0;2;3;0;0;1;0;3;1;0;2;0;2;0;1;3
0,complete,euclidean,cut,5,0;0;0;1;0;2;3;4;0;1;4;3;1;4;2;0;2;0;1;3
0,complete,euclidean,cut,6,0;0;0;1;0;2;3;4;0;1;4;3;1;4;2;0;2;0;1;5
0,ward.D2,euclidean,height,0,0.072761509956276407
0,ward.D2,euclidean,height,1,0.102357258938706439
0,ward.D2,euclidean,height,2,0.123814705575511608
0,ward.D2,euclidean,height,3,0.170649682733024582
0,ward.D2,euclidean,height,4,0.245046064276624009
0,ward.D2,euclidean,height,5,0.248207402428480800
0,ward.D2,euclidean,height,6,0.255177121617986280
0,ward.D2,euclidean,height,7,0.262102425380809023
0,ward.D2,euclidean,height,8,0.268805452519528865
0,ward.D2,euclidean,height,9,0.272375629738199954
0,ward.D2,euclidean,height,10,0.310128408631011210
0,ward.D2,euclidean,height,11,0.342137633002252362
0,ward.D2,euclidean,height,12,0.387947568365866413
0,ward.D2,euclidean,height,13,0.719645542697453400
0,ward.D2,euclidean,height,14,0.863513657761810771
0,ward.D2,euclidean,height,15,1.249228203745019083
0,ward.D2,euclidean,height,16,1.310854380122287832
0,ward.D2,euclidean,height,17,2.298481609179180651
0,ward.D2,euclidean,height,18,2.799333738236653435
0,ward.D2,euclidean,cut,2,0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;1
0,ward.D2,euclidean,cut,3,0;0;0;1;0;2;2;0;0;1;0;2;1;0;2;0;2;0;1;2
0,ward.D2,euclidean,cut,4,0;0;0;1;0;2;2;3;0;1;3;2;1;3;2;0;2;0;1;2
0,ward.D2,euclidean,cut,5,0;0;0;1;0;2;3;4;0;1;4;3;1;4;2;0;2;0;1;3
0,ward.D2,euclidean,cut,6,0;0;1;2;0;3;4;5;0;2;5;4;2;5;3;1;3;0;2;4
0,single,euclidean,height,0,0.072761509956276407
0,single,euclidean,height,1,0.102357258938706439
0,single,euclidean,height,2,0.108947578859525135
0,single,euclidean,height,3,0.123814705575511608
0,single,euclidean,height,4,0.170649682733024582
0,single,euclidean,height,5,0.190667771160576927
0,single,euclidean,height,6,0.205268479067082149
0,single,euclidean,height,7,0.245046064276624009
0,single,euclidean,height,8,0.245331847051698748
0,single,euclidean,height,9,0.248207402428480800
0,single,euclidean,height,10,0.250678276770647246
0,single,euclidean,height,11,0.272375629738199954
0,single,euclidean,height,12,0.310128408631011210
0,single,euclidean,height,13,0.363297179135159631
0,single,euclidean,height,14,0.409061057355028290
0,single,euclidean,height,15,0.411839365458926854
0,single,euclidean,height,16,0.490945672427955782
0,single,euclidean,height,17,0.497662011299106255
0,single,euclidean,height,18,0.554802860865139080
0,single,euclidean,cut,2,0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1
0,single,euclidean,cut,3,0;0;0;1;0;0;2;0;0;1;0;2;1;0;0;0;0;0;1;2
0,single,euclidean,cut,4,0;0;0;1;0;0;2;0;0;1;0;2;1;0;0;0;0;0;1;3
0,single,euclidean,cut,5,0;0;0;1;0;0;2;3;0;1;3;2;1;3;0;0;0;0;1;4
0,single,euclidean,cut,6,0;0;1;2;0;1;3;4;0;2;4;3;2;4;1;1;1;0;2;5
0,centroid,euclidean,height,0,0.072761509956276407
0,centroid,euclidean,height,1,0.102357258938706439
0,centroid,euclidean,height,2,0.123814705575511608
0,centroid,euclidean,height,3,0.170649682733024582
0,centroid,euclidean,height,4,0.190074158296477391
0,centroid,euclidean,height,5,0.226987358773295816
0,centroid,euclidean,height,6,0.245046064276624009
0,centroid,euclidean,height,7,0.248207402428480800
0,centroid,euclidean,height,8,0.220989869785767401
0,centroid,euclidean,height,9,0.270483548386477590
0,centroid,euclidean,height,10,0.272375629738199954
0,centroid,euclidean,height,11,0.274320356336335891
0,centroid,euclidean,height,12,0.310128408631011210
0,centroid,euclidean,height,13,0.510861569311504948
0,centroid,euclidean,height,14,0.623231321696233631
0,centroid,euclidean,height,15,0.639631442593122435
0,centroid,euclidean,height,16,0.721242239711459399
0,centroid,euclidean,height,17,0.961523842061969058
0,centroid,euclidean,height,18,0.965861900931099804
0,centroid,euclidean,cut,2,0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;1
0,centroid,euclidean,cut,3,0;0;0;1;0;2;2;0;0;1;0;2;1;0;2;0;2;0;1;2
0,centroid,euclidean,cut,4,0;0;0;1;0;2;3;0;0;1;0;3;1;0;2;0;2;0;1;3
0,centroid,euclidean,cut,5,0;0;0;1;0;2;3;4;0;1;4;3;1;4;2;0;2;0;1;3
0,centroid,euclidean,cut,6,0;0;0;1;0;2;3;4;0;1;4;3;1;4;2;0;2;0;1;5
0,average,manhattan,height,0,0.085182570680842395
0,average,manhattan,height,1,0.137402158549569442
0,average,manhattan,height,2,0.142774579176526140
0,average,manhattan,height,3,0.202784748125931863
0,average,manhattan,height,4,0.227502749082997890
0,average,manhattan,height,5,0.248050776138026396
0,average,manhattan,height,6,0.274927774586268270
0,average,manhattan,height,7,0.296063292055147476
0,average,manhattan,height,8,0.321550355795493847
0,average,manhattan,height,9,0.335396353260202229
0,average,manhattan,height,10,0.361421112771872666
0,average,manhattan,height,11,0.379080501563946126
0,average,manhattan,height,12,0.395859694109728322
0,average,manhattan,height,13,0.697509879376359776
0,average,manhattan,height,14,0.849966905876946122
0,average,manhattan,height,15,0.864691103667987293
0,average,manhattan,height,16,1.005093320193768625
0,average,manhattan,height,17,1.247965601956416037
0,average,manhattan,height,18,1.464183310866349119
0,average,manhattan,cut,2,0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;1
0,average,manhattan,cut,3,0;0;0;1;0;2;2;0;0;1;0;2;1;0;2;0;2;0;1;2
0,average,manhattan,cut,4,0;0;0;1;0;2;3;0;0;1;0;3;1;0;2;0;2;0;1;3
0,average,manhattan,cut,5,0;0;0;1;0;2;3;4;0;1;4;3;1;4;2;0;2;0;1;3
0,average,manhattan,cut,6,0;0;0;1;0;2;3;4;0;1;4;3;1;4;2;0;2;0;1;5
0,complete,manhattan,height,0,0.085182570680842395
0,complete,manhattan,height,1,0.137402158549569442
0,complete,manhattan,height,2,0.142774579176526140
0,complete,manhattan,height,3,0.202784748125931863
0,complete,manhattan,height,4,0.248050776138026396
0,complete,manhattan,height,5,0.296063292055147476
0,complete,manhattan,height,6,0.300961260632909955
0,complete,manhattan,height,7,0.317519059926689440
0,complete,manhattan,height,8,0.321550355795493847
0,complete,manhattan,height,9,0.362096989438687844
0,complete,manhattan,height,10,0.379080501563946126
0,complete,manhattan,height,11,0.442284230493896480
0,complete,manhattan,height,12,0.485895354067760021
0,complete,manhattan,height,13,0.891604943331316679
0,complete,manhattan,height,14,1.010742083774692990
0,complete,manhattan,height,15,1.209513552411616732
0,complete,manhattan,height,16,1.372585737662217475
0,complete,manhattan,height,17,1.968943420345814932
0,complete,manhattan,height,18,2.562235926530583185
0,complete,manhattan,cut,2,0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;1
0,complete,manhattan,cut,3,0;0;0;1;0;2;2;0;0;1;0;2;1;0;2;0;2;0;1;2
0,complete,manhattan,cut,4,0;0;0;1;0;2;3;0;0;1;0;3;1;0;2;0;2;0;1;3
0,complete,manhattan,cut,5,0;0;0;1;0;2;3;4;0;1;4;3;1;4;2;0;2;0;1;3
0,complete,manhattan,cut,6,0;0;0;1;0;2;3;4;0;1;4;3;1;4;2;0;2;0;1;5
0,ward.D2,manhattan,height,0,0.085182570680842395
0,ward.D2,manhattan,height,1,0.137402158549569442
0,ward.D2,manhattan,height,2,0.142774579176526140
0,ward.D2,manhattan,height,3,0.202784748125931863
0,ward.D2,manhattan,height,4,0.248050776138026396
0,ward.D2,manhattan,height,5,0.296063292055147476
0,ward.D2,manhattan,height,6,0.300096914048984920
0,ward.D2,manhattan,height,7,0.317459249330173443
0,ward.D2,manhattan,height,8,0.321550355795493847
0,ward.D2,manhattan,height,9,0.348884449881705749
0,ward.D2,manhattan,height,10,0.379080501563946126
0,ward.D2,manhattan,height,11,0.433326031840608250
0,ward.D2,manhattan,height,12,0.527120992777830977
0,ward.D2,manhattan,height,13,0.981457243820656355
0,ward.D2,manhattan,height,14,1.114976933517824786
0,ward.D2,manhattan,height,15,1.580433696839139257
0,ward.D2,manhattan,height,16,1.649542178538019543
0,ward.D2,manhattan,height,17,2.821044749955476050
0,ward.D2,manhattan,height,18,3.660353805327940968
0,ward.D2,manhattan,cut,2,0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;1
0,ward.D2,manhattan,cut,3,0;0;0;1;0;2;2;0;0;1;0;2;1;0;2;0;2;0;1;2
0,ward.D2,manhattan,cut,4,0;0;0;1;0;2;2;3;0;1;3;2;1;3;2;0;2;0;1;2
0,ward.D2,manhattan,cut,5,0;0;0;1;0;2;3;4;0;1;4;3;1;4;2;0;2;0;1;3
0,ward.D2,manhattan,cut,6,0;0;1;2;0;3;4;5;0;2;5;4;2;5;3;1;3;0;2;4
0,single,manhattan,height,0,0.085182570680842395
0,single,manhattan,height,1,0.137402158549569442
0,single,manhattan,height,2,0.142774579176526140
0,single,manhattan,height,3,0.154044237533085770
0,single,manhattan,height,4,0.202784748125931863
0,single,manhattan,height,5,0.232336489245847044
0,single,manhattan,height,6,0.248050776138026396
0,single,manhattan,height,7,0.269855230690743575
0,single,manhattan,height,8,0.296063292055147476
0,single,manhattan,height,9,0.299509651317370340
0,single,manhattan,height,10,0.308695717081716614
0,single,manhattan,height,11,0.321550355795493847
0,single,manhattan,height,12,0.372566633503838562
0,single,manhattan,height,13,0.379080501563946126
0,single,manhattan,height,14,0.488013772506321719
0,single,manhattan,height,15,0.516885420282174435
0,single,manhattan,height,16,0.676635390899303357
0,single,manhattan,height,17,0.689191727979199253
0,single,manhattan,height,18,0.712219359301705657
0,single,manhattan,cut,2,0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1
0,single,manhattan,cut,3,0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2
0,single,manhattan,cut,4,0;0;0;1;0;0;2;0;0;1;0;2;1;0;0;0;0;0;1;3
0,single,manhattan,cut,5,0;0;1;2;0;1;3;1;0;2;1;3;2;1;1;1;1;0;2;4
0,single,manhattan,cut,6,0;0;1;2;0;1;3;4;0;2;4;3;2;4;1;1;1;0;2;5
0,centroid,manhattan,height,0,0.085182570680842395
0,centroid,manhattan,height,1,0.137402158549569442
0,centroid,manhattan,height,2,0.142774579176526140
0,centroid,manhattan,height,3,0.202784748125931863
0,centroid,manhattan,height,4,0.212200562937193749
0,centroid,manhattan,height,5,0.248050776138026396
0,centroid,manhattan,height,6,0.274927774586268270
0,centroid,manhattan,height,7,0.296063292055147476
0,centroid,manhattan,height,8,0.302142796582915929
0,centroid,manhattan,height,9,0.321550355795493847
0,centroid,manhattan,height,10,0.342574307514741827
0,centroid,manhattan,height,11,0.372730828498989419
0,centroid,manhattan,height,12,0.379080501563946126
0,centroid,manhattan,height,13,0.659629249500720771
0,centroid,manhattan,height,14,0.804894166183467874
0,centroid,manhattan,height,15,0.849966905876946233
0,centroid,manhattan,height,16,0.912463820306432472
0,centroid,manhattan,height,17,1.180127687675781578
0,centroid,manhattan,height,18,1.262942048032270392
0,centroid,manhattan,cut,2,0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;1
0,centroid,manhattan,cut,3,0;0;0;1;0;2;2;0;0;1;0;2;1;0;2;0;2;0;1;2
0,centroid,manhattan,cut,4,0;0;0;1;0;2;3;0;0;1;0;3;1;0;2;0;2;0;1;3
0,centroid,manhattan,cut,5,0;0;0;1;0;2;3;0;0;1;0;3;1;0;2;0;2;0;1;4
0,centroid,manhattan,cut,6,0;0;0;1;0;2;3;4;0;1;4;3;1;4;2;0;2;0;1;5
1,average,euclidean,height,0,0.043360097119185460
1,average,euclidean,height,1,0.093358843434352481
1,average,euclidean,height,2,0.121336394384235310
1,average,euclidean,height,3,0.152106248206278438
1,average,euclidean,height,4,0.184561734833984609
1,average,euclidean,height,5,0.195406979790852697
1,average,euclidean,height,6,0.213112997912175195
1,average,euclidean,height,7,0.216585345337016261
1,average,euclidean,height,8,0.343892209359265788
1,average,euclidean,height,9,0.418166020455517706
1,average,euclidean,height,10,0.433837838258549768
1,average,euclidean,height,11,0.566454753531644206
1,average,euclidean,height,12,0.574261235545140636
1,average,euclidean,height,13,0.648274826667730397
1,average,euclidean,height,14,0.860337423983537963
1,average,euclidean,height,15,0.874669468354618673
1,average,euclidean,height,16,1.001619742037881400
1,average,euclidean,height,17,1.158954130409940220
1,average,euclidean,height,18,1.885954033762099469
1,average,euclidean,cut,2,0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
1,average,euclidean,cut,3,0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;2
1,average,euclidean,cut,4,0;1;0;0;0;0;0;0;0;0;0;2;3;1;0;0;1;2;0;3
1,average,euclidean,cut,5,0;1;0;0;0;0;2;0;0;0;0;3;4;1;0;0;1;3;0;4
1,average,euclidean,cut,6,0;1;0;0;0;0;2;0;0;0;0;3;4;1;0;0;1;5;0;4
1,complete,euclidean,height,0,0.043360097119185460
1,complete,euclidean,height,1,0.093358843434352481
1,complete,euclidean,height,2,0.121336394384235310
1,complete,euclidean,height,3,0.184561734833984609
1,complete,euclidean,height,4,0.186444511506438676
1,complete,euclidean,height,5,0.230600093875735213
1,complete,euclidean,height,6,0.234446242207709127
1,complete,euclidean,height,7,0.236660461185331489
1,complete,euclidean,height,8,0.433837838258549768
1,complete,euclidean,height,9,0.457823580422203946
1,complete,euclidean,height,10,0.574261235545140636
1,complete,euclidean,height,11,0.699532932435499410
1,complete,euclidean,height,12,0.717383935103558579
1,complete,euclidean,height,13,0.824304147289051881
1,complete,euclidean,height,14,0.860337423983537963
1,complete,euclidean,height,15,1.269871361046345015
1,complete,euclidean,height,16,1.632735947295493650
1,complete,euclidean,height,17,1.934929801615596912
1,complete,euclidean,height,18,3.111292766465305171
1,complete,euclidean,cut,2,0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1
1,complete,euclidean,cut,3,0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;2
1,complete,euclidean,cut,4,0;1;0;0;0;0;0;0;0;0;0;2;3;0;0;0;1;2;0;3
1,complete,euclidean,cut,5,0;1;2;0;0;0;2;0;0;2;2;3;4;2;2;0;1;3;2;4
1,complete,euclidean,cut,6,0;1;2;0;0;0;2;0;0;2;2;3;4;2;2;0;1;5;2;4
1,ward.D2,euclidean,height,0,0.043360097119185460
1,ward.D2,euclidean,height,1,0.093358843434352481
1,ward.D2,euclidean,height,2,0.121336394384235310
1,ward.D2,euclidean,height,3,0.171800111206836831
1,ward.D2,euclidean,height,4,0.184561734833984609
1,ward.D2,euclidean,height,5,0.223475201948621638
1,ward.D2,euclidean,height,6,0.230600093875735213
1,ward.D2,euclidean,height,7,0.265307977633711556
1,ward.D2,euclidean,height,8,0.433837838258549768
1,ward.D2,euclidean,height,9,0.434843940124229167
1,ward.D2,euclidean,height,10,0.574261235545140636
1,ward.D2,euclidean,height,11,0.740742837153654632
1,ward.D2,euclidean,height,12,0.773930378378583805
1,ward.D2,euclidean,height,13,0.860337423983537963
1,ward.D2,euclidean,height,14,0.937364647301573206
1,ward.D2,euclidean,height,15,1.364176047818295379
1,ward.D2,euclidean,height,16,1.601674172636526450
1,ward.D2,euclidean,height,17,2.270571721623934724
1,ward.D2,euclidean,height,18,3.453001239613733730
1,ward.D2,euclidean,cut,2,0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
1,ward.D2,euclidean,cut,3,0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;2
1,ward.D2,euclidean,cut,4,0;1;0;0;0;0;0;0;0;0;0;2;3;1;0;0;1;2;0;3
1,ward.D2,euclidean,cut,5,0;1;2;0;2;2;2;2;0;2;2;3;4;1;2;0;1;3;2;4
