# NMF 0.28, method brunet, 200 iterations from W0/H0 on V + 0.1; R version 4.5.2 (2025-10-31 ucrt)
block	i	j	value
V	1	1	1
V	2	1	1
V	3	1	0
V	4	1	4
V	5	1	0
V	6	1	0
V	7	1	0
V	8	1	0
V	9	1	0
V	10	1	0
V	11	1	0
V	12	1	0
V	13	1	0
V	14	1	1
V	15	1	0
V	16	1	0
V	17	1	0
V	18	1	0
V	19	1	0
V	20	1	1
V	21	1	0
V	22	1	0
V	23	1	0
V	24	1	1
V	25	1	1
V	26	1	0
V	27	1	0
V	28	1	0
V	29	1	1
V	30	1	3
V	31	1	0
V	32	1	1
V	33	1	1
V	34	1	1
V	35	1	13
V	36	1	1
V	37	1	0
V	38	1	2
V	39	1	9
V	40	1	0
V	41	1	1
V	42	1	0
V	43	1	9
V	44	1	2
V	45	1	1
V	46	1	4
V	47	1	7
V	48	1	1
V	49	1	0
V	50	1	1
V	51	1	2
V	52	1	2
V	53	1	1
V	54	1	1
V	55	1	1
V	56	1	2
V	57	1	0
V	58	1	0
V	59	1	1
V	60	1	0
V	61	1	2
V	62	1	0
V	63	1	2
V	64	1	1
V	65	1	1
V	66	1	3
V	67	1	6
V	68	1	1
V	69	1	4
V	70	1	0
V	71	1	1
V	72	1	0
V	73	1	1
V	74	1	0
V	75	1	2
V	76	1	1
V	77	1	1
V	78	1	0
V	79	1	2
V	80	1	2
V	81	1	0
V	82	1	0
V	83	1	0
V	84	1	1
V	85	1	0
V	86	1	0
V	87	1	1
V	88	1	0
V	89	1	0
V	90	1	0
V	91	1	0
V	92	1	0
V	93	1	0
V	94	1	1
V	95	1	1
V	96	1	0
V	1	2	1
V	2	2	0
V	3	2	0
V	4	2	0
V	5	2	0
V	6	2	1
V	7	2	0
V	8	2	0
V	9	2	1
V	10	2	0
V	11	2	0
V	12	2	0
V	13	2	2
V	14	2	1
V	15	2	0
V	16	2	0
V	17	2	0
V	18	2	0
V	19	2	0
V	20	2	0
V	21	2	1
V	22	2	0
V	23	2	0
V	24	2	1
V	25	2	0
V	26	2	0
V	27	2	0
V	28	2	0
V	29	2	3
V	30	2	0
V	31	2	0
V	32	2	7
V	33	2	2
V	34	2	0
V	35	2	2
V	36	2	0
V	37	2	0
V	38	2	1
V	39	2	1
V	40	2	0
V	41	2	0
V	42	2	1
V	43	2	1
V	44	2	1
V	45	2	7
V	46	2	1
V	47	2	2
V	48	2	3
V	49	2	0
V	50	2	0
V	51	2	0
V	52	2	0
V	53	2	0
V	54	2	0
V	55	2	0
V	56	2	0
V	57	2	0
V	58	2	0
V	59	2	0
V	60	2	0
V	61	2	0
V	62	2	0
V	63	2	0
V	64	2	0
V	65	2	0
V	66	2	1
V	67	2	0
V	68	2	0
V	69	2	0
V	70	2	0
V	71	2	0
V	72	2	0
V	73	2	0
V	74	2	0
V	75	2	0
V	76	2	0
V	77	2	0
V	78	2	0
V	79	2	1
V	80	2	0
V	81	2	0
V	82	2	0
